task_id,difficulty,n,arrival_sim,start_sim,end_sim,status,cost,real_duration_sec,waiting_time_sec,time_in_system_sec
147,easy,11,12:55:33,12:55:37,12:55:49,COMPLETED,32919.0,0.2071,"4.63, f{(task.end_time - task.arrival_time_offset):.2f}"
133,easy,12,12:55:49,12:55:49,12:56:14,COMPLETED,21525.0,0.4075,"0.94, f{(task.end_time - task.arrival_time_offset):.2f}"
122,easy,12,12:58:25,12:58:27,12:58:58,COMPLETED,22594.0,0.5083,"2.76, f{(task.end_time - task.arrival_time_offset):.2f}"
143,medium,14,12:35:00,12:35:04,12:59:28,COMPLETED,28134.0,24.4016,"4.49, f{(task.end_time - task.arrival_time_offset):.2f}"
120,easy,12,12:58:08,12:58:09,12:59:46,COMPLETED,29297.0,1.6215,"1.51, f{(task.end_time - task.arrival_time_offset):.2f}"
131,medium,14,12:16:40,12:16:40,13:00:53,COMPLETED,36696.0,44.2212,"0.05, f{(task.end_time - task.arrival_time_offset):.2f}"
170,easy,11,13:01:12,13:01:17,13:01:41,COMPLETED,24697.0,0.4051,"5.62, f{(task.end_time - task.arrival_time_offset):.2f}"
174,easy,11,13:02:04,13:02:06,13:02:12,COMPLETED,21657.0,0.1043,"2.13, f{(task.end_time - task.arrival_time_offset):.2f}"
159,medium,13,13:05:16,13:05:20,13:07:09,COMPLETED,33813.0,1.8233,"4.27, f{(task.end_time - task.arrival_time_offset):.2f}"
163,easy,11,13:06:55,13:06:57,13:07:09,COMPLETED,21255.0,0.2043,"2.42, f{(task.end_time - task.arrival_time_offset):.2f}"
165,easy,12,13:08:03,13:08:04,13:08:10,COMPLETED,21980.0,0.1032,"1.14, f{(task.end_time - task.arrival_time_offset):.2f}"
176,easy,11,13:09:06,13:09:10,13:09:23,COMPLETED,21000.0,0.2039,"4.83, f{(task.end_time - task.arrival_time_offset):.2f}"
169,easy,12,13:09:29,13:09:29,13:09:59,COMPLETED,29684.0,0.5066,"0.09, f{(task.end_time - task.arrival_time_offset):.2f}"
154,medium,14,13:10:21,13:10:23,13:13:07,COMPLETED,23976.0,2.7351,"2.68, f{(task.end_time - task.arrival_time_offset):.2f}"
