task_id,difficulty,n,arrival_sim,start_sim,end_sim,status,cost,real_duration_sec
174,medium,13,16:28:32,16:28:33,16:29:44,COMPLETED,18680.967595808943,1.1956
175,medium,13,16:28:33,16:29:51,16:31:56,COMPLETED,40834.59422540403,2.0916
167,medium,13,16:30:10,16:32:02,16:34:09,COMPLETED,30416.0,2.1119
165,easy,11,16:32:22,16:34:15,16:34:31,COMPLETED,21944.530362378835,0.2716
176,easy,12,16:36:18,16:36:19,16:37:19,COMPLETED,26210.0,0.9906
163,easy,11,16:37:18,16:37:25,16:38:11,COMPLETED,31528.290688711513,0.7646
178,easy,11,16:38:21,16:38:23,16:38:51,COMPLETED,24299.668783070007,0.4667
161,medium,13,16:40:30,16:40:33,16:42:02,COMPLETED,27546.0,1.4860
169,easy,12,16:43:11,16:43:14,16:44:31,COMPLETED,29503.0,1.2875
168,easy,12,16:48:17,16:48:20,16:49:49,COMPLETED,22394.0,1.4841
172,medium,14,16:51:03,16:51:07,16:54:31,COMPLETED,35374.0,3.4163
162,medium,13,16:53:04,16:54:38,16:56:14,COMPLETED,30073.484952509643,1.5992
177,easy,11,16:51:51,16:56:20,16:56:36,COMPLETED,27857.204119661998,0.2770
164,easy,11,16:53:46,16:56:43,16:56:58,COMPLETED,36245.0,0.2603
170,hard,16,16:56:53,16:57:04,17:09:45,COMPLETED,34011.0,12.6915
185,medium,14,17:02:02,17:09:52,17:12:52,COMPLETED,34174.0,3.0055
182,easy,12,17:05:22,17:12:58,17:13:27,COMPLETED,29767.51354836957,0.4798
180,easy,12,17:09:10,17:13:33,17:14:14,COMPLETED,28558.77143975704,0.6880
184,easy,12,17:09:34,17:14:20,17:14:55,COMPLETED,28064.0,0.5878
195,medium,13,17:20:13,17:20:14,17:22:20,COMPLETED,28521.0,2.0918
181,medium,13,17:23:54,17:23:56,17:26:26,COMPLETED,30439.0,2.5130
194,hard,16,17:30:11,17:30:15,18:00:00,UNFINISHED,-1,-1
198,hard,16,17:46:19,-,-,IGNORED,-1,-1
