test_id,n,city_index,cost,syncs,duration_sec,machine_info
Test 7,15,9-6,32459.0,0,0.1645,Cluster singlethread bt compile
Test 7,15,9-7,32459.0,0,0.0003,Cluster singlethread bt compile
Test 7,15,9-8,32459.0,0,0.0103,Cluster singlethread bt compile
Test 7,15,9-10,32459.0,0,0.2803,Cluster singlethread bt compile
Test 7,15,9-11,32459.0,0,0.0047,Cluster singlethread bt compile
Test 7,15,9-12,32459.0,0,0.0101,Cluster singlethread bt compile
Test 7,15,9-13,32459.0,0,0.0219,Cluster singlethread bt compile
Test 7,15,9-14,32459.0,0,0.3437,Cluster singlethread bt compile
Test 7,15,10-1,32459.0,0,0.1299,Cluster singlethread bt compile
Test 7,15,10-2,32459.0,0,0.0252,Cluster singlethread bt compile
Test 7,15,10-3,32459.0,0,0.1853,Cluster singlethread bt compile
Test 7,15,10-4,32459.0,0,0.0223,Cluster singlethread bt compile
Test 7,15,10-5,32459.0,0,0.0335,Cluster singlethread bt compile
Test 7,15,10-6,32459.0,0,0.2697,Cluster singlethread bt compile
Test 7,15,10-7,32459.0,0,0.0002,Cluster singlethread bt compile
Test 7,15,10-8,32459.0,0,0.0053,Cluster singlethread bt compile
Test 7,15,10-9,32459.0,0,0.4166,Cluster singlethread bt compile
Test 7,15,10-11,32459.0,0,0.0017,Cluster singlethread bt compile
Test 7,15,10-12,32459.0,0,0.0054,Cluster singlethread bt compile
Test 7,15,10-13,32459.0,0,0.0261,Cluster singlethread bt compile
Test 7,15,10-14,32459.0,0,0.5094,Cluster singlethread bt compile
Test 7,15,11-1,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,11-2,32459.0,0,0.0002,Cluster singlethread bt compile
Test 7,15,11-3,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,11-4,32459.0,0,0.0042,Cluster singlethread bt compile
Test 7,15,11-5,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,11-6,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,11-7,32459.0,0,0.0022,Cluster singlethread bt compile
Test 7,15,11-8,32459.0,0,0.0004,Cluster singlethread bt compile
Test 7,15,11-9,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,11-10,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,11-12,32459.0,0,0.0002,Cluster singlethread bt compile
Test 7,15,11-13,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,11-14,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,12-1,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,12-2,32459.0,0,0.0071,Cluster singlethread bt compile
Test 7,15,12-3,32459.0,0,0.0004,Cluster singlethread bt compile
Test 7,15,12-4,32459.0,0,0.0009,Cluster singlethread bt compile
Test 7,15,12-5,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,12-6,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,12-7,32459.0,0,0.0010,Cluster singlethread bt compile
Test 7,15,12-8,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,12-9,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,12-10,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,12-11,32459.0,0,0.0005,Cluster singlethread bt compile
Test 7,15,12-13,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,12-14,32459.0,0,0.0000,Cluster singlethread bt compile
Test 7,15,13-1,32459.0,0,0.3999,Cluster singlethread bt compile
Test 7,15,13-2,32459.0,0,0.0153,Cluster singlethread bt compile
Test 7,15,13-3,32459.0,0,0.0950,Cluster singlethread bt compile
Test 7,15,13-4,32459.0,0,0.0313,Cluster singlethread bt compile
Test 7,15,13-5,32459.0,0,0.3732,Cluster singlethread bt compile
Test 7,15,13-6,32459.0,0,0.0716,Cluster singlethread bt compile
Test 7,15,13-7,32459.0,0,0.0001,Cluster singlethread bt compile
Test 7,15,13-8,32459.0,0,0.0402,Cluster singlethread bt compile
Test 7,15,13-9,32459.0,0,0.2513,Cluster singlethread bt compile
Test 7,15,13-10,32459.0,0,0.2345,Cluster singlethread bt compile
Test 7,15,13-11,32459.0,0,0.0068,Cluster singlethread bt compile
Test 7,15,13-12,32459.0,0,0.0066,Cluster singlethread bt compile
Test 7,15,13-14,32459.0,0,0.1681,Cluster singlethread bt compile
Test 7,15,14-1,32459.0,0,0.0616,Cluster singlethread bt compile
Test 7,15,14-2,32459.0,0,0.0275,Cluster singlethread bt compile
Test 7,15,14-3,32459.0,0,0.2167,Cluster singlethread bt compile
Test 7,15,14-4,32459.0,0,0.0174,Cluster singlethread bt compile
Test 7,15,14-5,32459.0,0,0.0113,Cluster singlethread bt compile
Test 7,15,14-6,32459.0,0,0.3247,Cluster singlethread bt compile
Test 7,15,14-7,32459.0,0,0.0001,Cluster singlethread bt compile
Test 7,15,14-8,32459.0,0,0.0019,Cluster singlethread bt compile
Test 7,15,14-9,32459.0,0,0.1827,Cluster singlethread bt compile
Test 7,15,14-10,32459.0,0,0.2156,Cluster singlethread bt compile
Test 7,15,14-11,32459.0,0,0.0010,Cluster singlethread bt compile
Test 7,15,14-12,32459.0,0,0.0061,Cluster singlethread bt compile
Test 7,15,14-13,32459.0,0,0.0055,Cluster singlethread bt compile
Test 7,17,1-2,37170.0,2,4.0871,Cluster singlethread
Test 7,17,1-3,37170.39741251466,1,3.9097,Cluster singlethread
Test 7,17,1-4,37170.0,2,4.8532,Cluster singlethread
Test 7,17,1-5,37170.0,3,6.2301,Cluster singlethread
Test 7,17,1-6,37170.0,2,4.1066,Cluster singlethread
Test 7,17,1-7,39752.80849446615,1,2.3026,Cluster singlethread
Test 7,17,1-8,37170.0,2,4.4257,Cluster singlethread
Test 7,17,1-9,37170.39741251466,1,2.6268,Cluster singlethread
Test 7,17,1-10,37170.0,1,2.0792,Cluster singlethread
Test 7,17,1-11,39089.0,0,1.3547,Cluster singlethread
Test 7,17,1-12,37170.0,0,0.1183,Cluster singlethread
